time_seconds,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
2.987325,-0.560243,4.438850,8.087613,-1.306641,0.461814,0.144164,0.96173406,0.27250737,-0.00866178,0.02706211
3.007331,-0.945710,4.055778,8.331821,-1.400714,0.078802,0.370184,0.96513402,0.25981179,-0.00425972,0.03156078
3.027107,0.562637,4.620809,10.589554,-1.398270,-0.055589,0.466701,0.96847111,0.24632274,-0.00403204,0.03704957
3.047338,1.278504,4.259285,10.958261,-1.081231,0.352469,0.200364,0.97155333,0.23281644,-0.00560869,0.04300425
3.067144,0.160412,4.113238,9.622296,-0.837496,0.361632,0.057421,0.97388083,0.22209571,-0.00278363,0.04713810
3.087653,-0.761356,3.950433,9.150639,-0.793514,0.051313,0.220522,0.97561109,0.21374111,0.00054693,0.04997582
3.107316,0.038307,3.813963,9.619903,-0.762360,-0.209527,0.412945,0.97708452,0.20598820,0.00053725,0.05361422
3.127532,0.881066,3.881001,10.357317,-0.676839,-0.115454,0.337808,0.97831416,0.19867347,-0.00241057,0.05851913
3.147868,0.328006,3.428497,9.730036,-0.521068,0.040317,0.204029,0.97933424,0.19210923,-0.00430681,0.06308851
3.168677,0.047884,3.330335,9.040505,-0.544281,0.005498,0.259007,0.98009276,0.18696177,-0.00433612,0.06666981
3.187841,0.543484,3.165135,9.521740,-0.587041,-0.140499,0.291994,0.98078924,0.18174472,-0.00462639,0.07071103
3.207945,0.806846,3.392584,10.438720,-0.515570,-0.006109,0.181427,0.97979361,0.17624214,-0.00302563,0.09451980
3.227707,0.586579,3.193865,10.304645,-0.356134,0.238848,0.050702,0.97915691,0.17121947,-0.00163465,0.10923845
3.247898,0.198719,2.937685,9.622296,-0.267559,0.197920,0.041539,0.97864711,0.16745058,0.00177461,0.11919361
3.268939,-0.031125,2.834735,9.509769,-0.249844,-0.040928,0.130114,0.97897559,0.16457872,0.00341011,0.12045398
3.288356,0.306458,2.815581,9.624691,-0.221133,-0.158214,0.204029,0.97919524,0.16216183,0.00254977,0.12195826
3.308004,0.735020,2.875436,9.849746,-0.165544,-0.118508,0.147219,0.97925806,0.16014975,0.00048673,0.12411916
